,user_id,name,property_id,month,payment_date,payment_amount,monthly_rent,paid
0,1,George Mcdaniel,3659ee5e-f7fe-447b-92a5-5e3310040c4e,2024-01,2024-01-12,25795.0,25795,True
1,1,George Mcdaniel,3659ee5e-f7fe-447b-92a5-5e3310040c4e,2024-02,2024-02-17,19952.09,25795,True
2,1,George Mcdaniel,3659ee5e-f7fe-447b-92a5-5e3310040c4e,2024-02,2024-02-28,5842.91,25795,True
3,1,George Mcdaniel,3659ee5e-f7fe-447b-92a5-5e3310040c4e,2024-03,2024-03-04,25795.0,25795,True
4,1,George Mcdaniel,3659ee5e-f7fe-447b-92a5-5e3310040c4e,2024-04,2024-04-09,9896.81,25795,True
5,1,George Mcdaniel,3659ee5e-f7fe-447b-92a5-5e3310040c4e,2024-04,2024-04-18,5700.43,25795,True
6,1,George Mcdaniel,3659ee5e-f7fe-447b-92a5-5e3310040c4e,2024-04,2024-04-25,10197.76,25795,True
7,1,George Mcdaniel,3659ee5e-f7fe-447b-92a5-5e3310040c4e,2024-05,2024-05-06,761.03,25795,True
8,1,George Mcdaniel,3659ee5e-f7fe-447b-92a5-5e3310040c4e,2024-05,2024-05-09,22866.79,25795,True
9,1,George Mcdaniel,3659ee5e-f7fe-447b-92a5-5e3310040c4e,2024-05,2024-05-19,2167.18,25795,True
10,1,George Mcdaniel,3659ee5e-f7fe-447b-92a5-5e3310040c4e,2024-06,2024-06-15,25795.0,25795,True
11,2,Jamie Jones,9512dc7e-13b8-44ed-bdeb-e795538c7d58,2024-01,2024-01-04,2630.98,10860,True
12,2,Jamie Jones,9512dc7e-13b8-44ed-bdeb-e795538c7d58,2024-01,2024-01-15,3378.96,10860,True
13,2,Jamie Jones,9512dc7e-13b8-44ed-bdeb-e795538c7d58,2024-01,2024-01-26,4850.06,10860,True
14,2,Jamie Jones,9512dc7e-13b8-44ed-bdeb-e795538c7d58,2024-02,2024-02-06,10860.0,10860,True
15,2,Jamie Jones,9512dc7e-13b8-44ed-bdeb-e795538c7d58,2024-03,2024-03-06,10860.0,10860,True
